,accuracy,precision,recall,specificity,balanced_accuracy,mcc,f1_score
hmmsearch_out_C_1_denoised1_swissprot.domtblout,0.9962019391033596,0.0106235565819861,1.0,0.9962017842038908,0.9981008921019454,0.1028747103109679,0.0210237659963436
hmmsearch_out_C_1_swissprot.domtblout,0.9962303093061358,0.0107026523964634,1.0,0.9962301555637124,0.9981150777818562,0.1032584382114756,0.0211786372007366
hmmsearch_out_C_3_denoised1_uniref90.domtblout,0.9955015497223266,0.008984375,1.0,0.9955013662582964,0.9977506831291484,0.094572499107705,0.0178087495160665
hmmsearch_out_C_3_uniref90.domtblout,0.9955210542367352,0.0090231463318948,1.0,0.9955208715681736,0.9977604357840868,0.0947772678473859,0.0178849144634525
hmmsearch_out_C_4_denoised1_uniref90.domtblout,0.9957568815473109,0.009519867549668874,1.0,0.9957567084966903,0.9978783542483451,0.0973625799605923,0.01886018860188602
hmmsearch_out_C_4_uniref90.domtblout,0.9957763860617194,0.009563409563409564,1.0,0.9957762138065677,0.9978881069032839,0.09758594041220024,0.018945634266886325
hmmsearch_out_M_1.domtblout,0.9962356287191564,0.01071761416589,1.0,0.9962354751936788,0.9981177375968394,0.1033308639347313,0.0212079299216228
hmmsearch_out_M_4_denoised1_uniref90.domtblout,0.9957302844822083,0.009461127108185932,1.0,0.9957301103468577,0.9978650551734288,0.09706044065137776,0.018744906275468622
hmmsearch_out_M_4_uniref90.domtblout,0.9957426964459228,0.009488448844884489,1.0,0.9957425228167796,0.9978712614083898,0.09720109047959924,0.01879852881078872
hmmsearch_out_O_1.domtblout,0.9962303093061358,0.0107026523964634,1.0,0.9962301555637124,0.9981150777818562,0.1032584382114756,0.0211786372007366
hmmsearch_out_O_4_denoised1_uniref90.domtblout,0.9957710666486989,0.009551495016611296,1.0,0.995770894176601,0.9978854470883005,0.09752487238348163,0.018922254216371864
hmmsearch_out_O_4_uniref90.domtblout,0.9957728397863723,0.009555463232239303,1.0,0.9957726673865899,0.9978863336932949,0.09754521572522876,0.018930041152263374
out_psiblast_C_1_denoised1_swissprot_1iterations.xml,0.9997588532764038,0.1401273885350318,0.9565217391304348,0.9997606166515056,0.9781411778909704,0.3660596305595816,0.2444444444444444
out_psiblast_C_1_denoised1_swissprot_2iterations.xml,0.9990832878227998,0.0425925925925925,1.0,0.9990832504357664,0.9995416252178831,0.2062851081680249,0.0817051509769094
out_psiblast_C_1_denoised1_swissprot_3iterations.xml,0.998875830715,0.0350076103500761,1.0,0.9988757848670712,0.9994378924335356,0.1869980060448583,0.0676470588235294
out_psiblast_C_1_swissprot_1iterations.xml,0.9998173668196292,0.1774193548387097,0.9565217391304348,0.9998191325811376,0.9781704358557862,0.4119122289614728,0.2993197278911564
out_psiblast_C_1_swissprot_2iterations.xml,0.9991311625399842,0.0448343079922027,1.0,0.9991311271054653,0.9995655635527326,0.2116491263323406,0.085820895522388
out_psiblast_C_1_swissprot_3iterations.xml,0.9989768995623896,0.0383333333333333,1.0,0.9989768578364356,0.9994884289182178,0.1956888164503276,0.0738362760834671
out_psiblast_C_3_denoised1_uniref90_1iterations.xml,0.9995283453788486,0.0766550522648083,0.9565217391304348,0.9995300993529556,0.9780259192416952,0.2707111146077336,0.1419354838709677
out_psiblast_C_4_denoised1_uniref90_1iterations.xml,0.999643599327626,0.0990990990990991,0.9565217391304348,0.9996453580022306,0.9780835485663328,0.3078207300207466,0.1795918367346938
out_psiblast_C_4_uniref90_1iterations.xml,0.999643599327626,0.0990990990990991,0.9565217391304348,0.9996453580022306,0.9780835485663328,0.3078207300207466,0.1795918367346938
out_psiblast_M_1.xml,0.9991542133297396,0.046,1.0,0.9991541788353202,0.99957708941766,0.2143853824924281,0.0879541108986615
out_psiblast_M_3_uniref90_1iterations.xml,0.9998226862326498,0.1818181818181818,0.9565217391304348,0.9998244522111042,0.9781730956707696,0.4169885245436662,0.3055555555555556
out_psiblast_M_3_uniref90_2iterations.xml,0.9991258431269636,0.0428015564202334,0.9565217391304348,0.9991275806854876,0.9778246599079612,0.2022413959516831,0.0819366852886405
out_psiblast_M_4_denoised1_uniref90_1iterations.xml,0.9998811997758754,0.25,0.9565217391304348,0.9998829681407362,0.9782023536355856,0.4889779961469861,0.3963963963963964
out_psiblast_M_4_uniref90_1iterations.xml,0.99989361173959,0.2716049382716049,0.9565217391304348,0.999895380610658,0.9782085598705464,0.5096723620781862,0.4230769230769231
out_psiblast_O_1.xml,0.9991542133297396,0.046,1.0,0.9991541788353202,0.99957708941766,0.2143853824924281,0.0879541108986615
out_psiblast_O_3_uniref90_1iterations.xml,0.9996028171611356,0.0897959183673469,0.9565217391304348,0.9996045741724872,0.978063156651461,0.2930094611063365,0.1641791044776119
out_psiblast_O_3_uniref90_2iterations.xml,0.9989786727000632,0.0368509212730318,0.9565217391304348,0.9989804042564132,0.977751071693424,0.187641781674437,0.0709677419354838
out_psiblast_O_4_denoised1_uniref90_1iterations.xml,0.9996294142262382,0.0956521739130434,0.9565217391304348,0.99963117232232,0.9780764557263774,0.3024176061199045,0.1739130434782608
out_psiblast_O_4_uniref90_1iterations.xml,0.9996382799146056,0.0977777777777777,0.9565217391304348,0.999640038372264,0.9780808887513496,0.3057608178251944,0.1774193548387097
